DATA_LANCAMENTO_OBRA;TITULO_ORIGINAL;CPB_ROE;TIPO_OBRA;PAIS_OBRA;PUBLICO_TOTAL;RENDA_TOTAL;RAZAO_SOCIAL_DISTRIBUIDORA;REGISTRO_DISTRIBUIDORA;CNPJ_DISTRIBUIDORA
22/09/2022;EIKE, TUDO OU NADA;B2200250300000;FICÇÃO;BRASIL;18297;R$ 481.818,37;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49
22/09/2022;MADELEINE COLLINS;E2200198400000;FICÇÃO;BÉLGICA;1751;R$ 31.236,10;SYNAPSE BRAZIL PRODUCTION AND DISTRIBUTION LTDA;277;02.185.369/0001-41
22/09/2022;O LIVRO DOS PRAZERES;B2100408100000;FICÇÃO;ARGENTINA;6966;R$ 105.540,26;VITRINE FILMES LTDA;16713;11.620.976/0001-83
22/09/2022;OS OSSOS DA SAUDADE;B1900623300000;DOCUMENTÁRIO;BRASIL;75;R$ 1.178,19;OLHAR DISTRIBUICAO DE FILMES LTDA;37242;28.083.221/0001-90
22/09/2022;OS SUBURBANOS - O FILME;B1900479000000;FICÇÃO;BRASIL;85037;R$ 1.477.074,39;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;4904;07.616.202/0001-01
22/09/2022;THE WOMAN KING;E2200226300000;FICÇÃO;ESTADOS UNIDOS;1223076;R$ 23.104.676,24;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;84;00.979.601/0001-98
15/09/2022;CURTAS JORNADAS NOITE ADENTRO;B1900308000000;FICÇÃO;BRASIL;462;R$ 4.824,59;LIVRES DISTRIBUIDORA DE AUDIVISUAL LTDA ME;21870;15.263.576/0001-19
15/09/2022;LISA REDLER;E2200240000000;FICÇÃO;FRANÇA;4952;R$ 65.980,19;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;12443;08.656.129/0001-64
15/09/2022;MOONAGE DAYDREAM;E2200287400000;DOCUMENTÁRIO;REINO UNIDO;24150;R$ 453.330,51;WARNER BROS. (SOUTH) INC.;265;33.015.827/0001-28
15/09/2022;ORPHAN: FIRST KILL;E2200255200000;FICÇÃO;ESTADOS UNIDOS;2151675;R$ 27.753.514,32;DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.;22724;17.095.184/0001-13
08/09/2022;5 CASAS;B2000263300000;DOCUMENTÁRIO;ALEMANHA;918;R$ 9.867,32;LANCA DISTRIBUIDORA DE FILMES LTDA;25115;18.384.267/0001-95
08/09/2022;AMIRA;E2200307400000;FICÇÃO;EGITO;1318;R$ 20.606,81;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82
08/09/2022;AQUILO QUE EU NUNCA PERDI;B2100120300000;DOCUMENTÁRIO;BRASIL;257;R$ 3.643,57;DESCOLONIZA FILMES E PRODUCOES ARTISTICAS EIRELI;43301;33.427.044/0001-51
08/09/2022;EN CORPS;E2200175500000;FICÇÃO;BÉLGICA;2420;R$ 36.875,07;BONFILM PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA;14462;10.383.039/0001-99
08/09/2022;MEN;E2200257100000;FICÇÃO;REINO UNIDO;17916;R$ 276.309,90;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49
08/09/2022;MINHA FAMILIA PERFEITA;B2000277900000;FICÇÃO;BRASIL;29995;R$ 440.563,12;THE WALT DISNEY COMPANY (BRASIL) LTDA.;18398;73.042.962/0001-87
08/09/2022;O GRANDE IRMÃO - O DIA QUE DUROU 21 ANOS 2;B2200070900000;DOCUMENTÁRIO;BRASIL;163;R$ 2.649,51;ELO AUDIOVISUAL SERVIÇOS LTDA;5672;07.700.630/0001-18
08/09/2022;THE SURVIVOR;E2200255600000;FICÇÃO;CANADÁ;3723;R$ 83.760,52;DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.;22724;17.095.184/0001-13
08/09/2022;THE TERRITORY;E2200291100000;DOCUMENTÁRIO;BRASIL;1627;R$ 24.555,88;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;63;67.431.718/0001-03
08/09/2022;TICKET TO PARADISE;E2200283900000;FICÇÃO;ESTADOS UNIDOS;735157;R$ 13.072.629,11;WARNER BROS. (SOUTH) INC.;265;33.015.827/0001-28
08/09/2022;TROMBA TREM - O FILME;B2100536000000;ANIMAÇÃO;BRASIL;5108;R$ 76.728,35;VITRINE FILMES LTDA;16713;11.620.976/0001-83
07/09/2022;PINOCCHIO: A TRUE STORY;E2200303500000;ANIMAÇÃO;RÚSSIA;72799;R$ 1.094.984,10;PLAYARTE PICTURES ENTRETENIMENTOS LTDA.;443;00.943.231/0001-39
07/09/2022;SPIDER-MAN: NO WAY HOME;E2200303700000;FICÇÃO;ESTADOS UNIDOS;507081;R$ 6.920.335,13;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;84;00.979.601/0001-98
01/09/2022;A VIAGEM DE PEDRO;B2100263400000;FICÇÃO;PORTUGAL;11852;R$ 191.022,77;VITRINE FILMES LTDA;16713;11.620.976/0001-83
01/09/2022;BOILING POINT;E2200205900000;FICÇÃO;REINO UNIDO;1782;R$ 37.472,97;SYNAPSE BRAZIL PRODUCTION AND DISTRIBUTION LTDA;277;02.185.369/0001-41
01/09/2022;INTRODUCTION;E2200182900000;FICÇÃO;CORÉIA DO SUL;2830;R$ 37.600,44;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;12443;08.656.129/0001-64
01/09/2022;LA FINE FLEUR;E2200288700000;FICÇÃO;FRANÇA;2923;R$ 67.587,01;ANTONIO FERNANDES FILMES LTDA;532;02.668.665/0001-01
01/09/2022;MARIA - NINGUÉM SABE QUEM SOU EU;B2200258900000;DOCUMENTÁRIO;BRASIL;20464;R$ 298.224,65;ARTEPLEX DISTRIBUIDORA LTDA;41991;31.694.954/0001-75
01/09/2022;PREDESTINADO: ARIGÓ E O ESPÍRITO DO DR. FRITZ;B2000111800000;FICÇÃO;BRASIL;269362;R$ 4.537.651,95;WMIX DISTRIBUIDORA LTDA.;1935;03.918.609/0001-32
01/09/2022;SEGREDOS DO PUTUMAYO;B2100339600000;DOCUMENTÁRIO;BRASIL;1033;R$ 14.863,17;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;63;67.431.718/0001-03
01/09/2022;THE CALL;E2200241800000;FICÇÃO;ESTADOS UNIDOS;101451;R$ 1.539.031,20;CINEMARK BRASIL S.A;1843;00.779.721/0001-41
01/09/2022;THREE THOUSAND YEARS OF LONGING;E2200271500000;FICÇÃO;ESTADOS UNIDOS;38576;R$ 774.444,43;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49
01/09/2022;WHERE THE CRAWDADS SING;E2200057200000;FICÇÃO;ESTADOS UNIDOS;149781;R$ 2.659.908,30;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;84;00.979.601/0001-98
25/08/2022;AFTER EVER HAPPY;E2200149900000;FICÇÃO;ESTADOS UNIDOS;164755;R$ 2.774.339,24;DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.;22724;17.095.184/0001-13
25/08/2022;ALGUNAS BESTIAS;E2200130600000;FICÇÃO;CHILE;1550;R$ 27.640,61;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82
25/08/2022;ASSALTO NA PAULISTA;B2200223200000;FICÇÃO;BRASIL;1999;R$ 34.871,49;KINOSCÓPIO CINEMATOGRÁFICA E COMÉRCIO LTDA - EPP;2320;02.395.043/0001-49
25/08/2022;CANO SERRADO;B1800375900000;FICÇÃO;BRASIL;1150;R$ 19.435,86;H2O DISTRIBUIDORA DE FILMES LTDA;21541;15.372.472/0001-42
25/08/2022;MARTE UM;B2000312900000;FICÇÃO;BRASIL;103961;R$ 1.742.582,97;EMBAUBA FILMES LTDA;23638;15.144.532/0001-70
25/08/2022;NOPE;E2200239500000;FICÇÃO;ESTADOS UNIDOS;823541;R$ 13.627.339,09;WARNER BROS. (SOUTH) INC.;265;33.015.827/0001-28
25/08/2022;O DEBATE;B2200273500000;FICÇÃO;BRASIL;4415;R$ 87.815,85;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49
25/08/2022;ONODA - 10 000 NIGHTS IN THE JUNGLE;E2200280300000;FICÇÃO;FRANÇA;2300;R$ 47.138,50;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82
25/08/2022;PAWS OF FURY: THE LEGEND OF HANK;E2200260200000;ANIMAÇÃO;CHINA;336102;R$ 5.508.700,15;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;169;27.654.722/0001-16
21/08/2022;SEVENTEEN WORLD TOUR - BE THE SUN;E2200292100000;VÍDEOMUSICAL;CORÉIA DO SUL;1968;R$ 51.289,62;CINECOLOR DO BRASIL LTDA;2631;05.332.959/0001-48
18/08/2022;45 DO SEGUNDO TEMPO;B2100362100000;FICÇÃO;BRASIL;27285;R$ 552.625,82;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49
18/08/2022;CE QUI NOUS LIE;E1700611600000;FICÇÃO;FRANÇA;1832;R$ 33.079,83;BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP;19243;39.079.678/0001-47
18/08/2022;DRAGON BALL SUPER: SUPER HERO;E2200253600000;ANIMAÇÃO;JAPÃO;337587;R$ 5.826.186,83;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;84;00.979.601/0001-98
18/08/2022;LA CROISADE;E2200198500000;FICÇÃO;FRANÇA;1026;R$ 22.085,42;SYNAPSE BRAZIL PRODUCTION AND DISTRIBUTION LTDA;277;02.185.369/0001-41
18/08/2022;LOS CONDUCTOS;E2200271300000;FICÇÃO;COLÔMBIA;118;R$ 1.941,85;OLHAR DISTRIBUICAO DE FILMES LTDA;37242;28.083.221/0001-90
18/08/2022;MAIOR QUE O MUNDO;B2100161600000;FICÇÃO;BRASIL;564;R$ 13.340,41;WMIX DISTRIBUIDORA LTDA.;1935;03.918.609/0001-32
18/08/2022;MEU ÁLBUM DE AMORES;B2100262100000;FICÇÃO;BRASIL;887;R$ 16.612,83;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;12443;08.656.129/0001-64
18/08/2022;PAIXÕES RECORRENTES;B2000346300000;FICÇÃO;BRASIL;601;R$ 9.239,42;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;63;67.431.718/0001-03
18/08/2022;XUAN YA ZHI SHANG - CLIFF WALKERS;E2200200700000;FICÇÃO;CHINA;1284;R$ 24.101,13;A2 DISTRIBUIDORA DE FILMES LTDA EPP;34811;18.338.912/0001-33
16/08/2022;MEU TIO JOSÉ;B2000335200000;ANIMAÇÃO;BRASIL;375;R$ 5.542,80;TUCUMÁN DISTRIBUIDORA DE FILMES LTDA;16132;10.681.698/0001-01
11/08/2022;A BATALHA DE SHANGRI-LÁ;B1900494600000;FICÇÃO;BRASIL;141;R$ 2.006,07;MORO COMUNICACAO LTDA;5224;03.827.382/0001-10
11/08/2022;ADIEU MONSIEUR HAFFMANN;E2200198300000;FICÇÃO;FRANÇA;5047;R$ 103.303,22;SYNAPSE BRAZIL PRODUCTION AND DISTRIBUTION LTDA;277;02.185.369/0001-41
11/08/2022;BEAST;E2200239400000;FICÇÃO;ESTADOS UNIDOS;259050;R$ 4.628.297,62;WARNER BROS. (SOUTH) INC.;265;33.015.827/0001-28
11/08/2022;CLARA SOLA;E2200252500000;FICÇÃO;SUÉCIA;2242;R$ 38.812,57;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82
11/08/2022;IL BUCO;E2200135000000;FICÇÃO;ALEMANHA;1691;R$ 28.273,18;ZETA FILMES LTDA;22936;02.469.679/0001-98
11/08/2022;O REFLEXO DO LAGO;B2000361300000;DOCUMENTÁRIO;BRASIL;92;R$ 714,00;ELO AUDIOVISUAL SERVIÇOS LTDA;5672;07.700.630/0001-18
11/08/2022;PACIFIED;B2000532000000;FICÇÃO;BRASIL;1074;R$ 23.562,52;THE WALT DISNEY COMPANY (BRASIL) LTDA.;18398;73.042.962/0001-87
11/08/2022;PAPAI É POP;B2200260700000;FICÇÃO;BRASIL;51330;R$ 883.700,75;GALERIA DISTRIBUIDORA AUDIOVISUAL LTDA;42233;32.656.607/0001-10
11/08/2022;THE TWIN;E2200162700000;FICÇÃO;FINLÂNDIA;76774;R$ 1.354.675,40;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49
11/08/2022;X;E2200246600000;FICÇÃO;ESTADOS UNIDOS;50436;R$ 911.103,17;PLAYARTE PICTURES ENTRETENIMENTOS LTDA.;443;00.943.231/0001-39
04/08/2022;ALÉM DA LENDA - FILME;B2000141100000;ANIMAÇÃO;BRASIL;3761;R$ 46.915,13;BOULEVARD FILMES LTDA;17484;12.126.484/0001-07
04/08/2022;BULLET TRAIN;E2200056900000;FICÇÃO;ESTADOS UNIDOS;619845;R$ 12.630.978,11;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;84;00.979.601/0001-98
04/08/2022;DE REPENTE DRAG;B2200202000000;FICÇÃO;BRASIL;1108;R$ 17.605,85;ELO AUDIOVISUAL SERVIÇOS LTDA;5672;07.700.630/0001-18
04/08/2022;HALL;E2200151000000;FICÇÃO;CANADÁ;105;R$ 2.234,01;CINECOLOR DO BRASIL LTDA;2631;05.332.959/0001-48
04/08/2022;O PALESTRANTE;B2000041300000;FICÇÃO;BRASIL;125868;R$ 2.412.050,01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;4904;07.616.202/0001-01
04/08/2022;PLATAMAMA;B1800353300000;DOCUMENTÁRIO;BRASIL;52;R$ 1.163,27;ALICE FANNY RIFF-PRODUCOES AUDIVISUAIS E CULTURAIS-ME;25354;10.551.469/0001-72
04/08/2022;QUEM TEM MEDO?;B2200198800000;DOCUMENTÁRIO;BRASIL;310;R$ 4.218,82;EMBAUBA FILMES LTDA;23638;15.144.532/0001-70
04/08/2022;SAPATO36;B2000315600000;DOCUMENTÁRIO;BRASIL;351;R$ 2.666,96;VILABELA PRODUÇÕES ARTÍSTICAS;25897;16.863.370/0001-92
04/08/2022;TRALALA;E2200080300000;FICÇÃO;FRANÇA;233;R$ 3.514,27;BONFILM PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA;14462;10.383.039/0001-99
04/08/2022;VANISHING;E2200201000000;FICÇÃO;FRANÇA;112;R$ 2.675,39;A2 DISTRIBUIDORA DE FILMES LTDA EPP;34811;18.338.912/0001-33
28/07/2022;AOS NOSSOS FILHOS;B2100115300000;FICÇÃO;BRASIL;6205;R$ 111.023,32;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;11868;08.346.733/0001-94
28/07/2022;BRASIL ÁFRICA - UM ELO NATURAL;B2000110400000;DOCUMENTÁRIO;BRASIL;24;R$ 449,17;BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP;19243;39.079.678/0001-47
28/07/2022;CHRISTIANE F. - WIR KINDER VOM BAHNHOF ZOO;E2200225000000;FICÇÃO;ALEMANHA;2734;R$ 48.895,17;A2 DISTRIBUIDORA DE FILMES LTDA EPP;34811;18.338.912/0001-33
28/07/2022;DC LEAGUE OF SUPERPETS;E2200126400000;ANIMAÇÃO;ESTADOS UNIDOS;878973;R$ 15.619.774,87;WARNER BROS. (SOUTH) INC.;265;33.015.827/0001-28
28/07/2022;FADO TROPICAL;B1900216800000;FICÇÃO;BRASIL;274;R$ 2.329,29;CAVIDEO PRODUÇÕES COMÉRCIO E LOCAÇÃO DE FILMES LTDA;11893;01.666.326/0001-15
28/07/2022;GHAHREMAN;E2200038000000;FICÇÃO;FRANÇA;6133;R$ 124.150,50;ANTONIO FERNANDES FILMES LTDA;532;02.668.665/0001-01
28/07/2022;GOOD LUCK TO YOU, LEO GRANDE;E2200209000000;FICÇÃO;REINO UNIDO;45071;R$ 1.089.038,86;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49
28/07/2022;POETAS DO CÉU;B1900050800000;DOCUMENTÁRIO;BRASIL;32;R$ 475,00;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;12443;08.656.129/0001-64
28/07/2022;VIRAR MAR;B2200073700000;DOCUMENTÁRIO;ALEMANHA;373;R$ 2.897,89;VITRINE FILMES LTDA;16713;11.620.976/0001-83
21/07/2022;CASA DE ANTIGUIDADES;B2000429100000;FICÇÃO;BRASIL;782;R$ 10.041,12;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;12443;08.656.129/0001-64
21/07/2022;DIÁRIOS DE OTSOGA;E2200173400000;FICÇÃO;FRANÇA;293;R$ 3.732,05;VITRINE FILMES LTDA;16713;11.620.976/0001-83
21/07/2022;ELA E EU;B2000081700000;FICÇÃO;BRASIL;2260;R$ 45.277,17;THE WALT DISNEY COMPANY (BRASIL) LTDA.;18398;73.042.962/0001-87
21/07/2022;LES AMOURS D'ANAÏS;E2200222500000;FICÇÃO;FRANÇA;2583;R$ 43.323,84;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82
21/07/2022;MEMORIA;E2200238500000;FICÇÃO;COLÔMBIA;6328;R$ 99.770,48;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;63;67.431.718/0001-03
21/07/2022;PARADISE;E2200161900000;FICÇÃO;ESLOVÊNIA;6162;R$ 103.412,79;ARTEPLEX DISTRIBUIDORA LTDA;41991;31.694.954/0001-75
21/07/2022;PLUFT, O FANTASMINHA;B2100282200000;FICÇÃO;BRASIL;127619;R$ 2.270.066,42;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;4904;07.616.202/0001-01
21/07/2022;THE BLACK PHONE;E2100492800000;FICÇÃO;ESTADOS UNIDOS;1297459;R$ 22.711.620,81;WARNER BROS. (SOUTH) INC.;265;33.015.827/0001-28
21/07/2022;ÚLTIMA CIDADE;B2000284300000;FICÇÃO;BRASIL;214;R$ 1.871,00;MARREVOLTO PRODUCOES LTDA - ME;15088;08.254.467/0001-70
14/07/2022;A QUEDA;B2100349700000;FICÇÃO;BRASIL;354;R$ 5.932,54;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;63;67.431.718/0001-03
14/07/2022;CRIMES OF THE FUTURE;E2200238400000;FICÇÃO;CANADÁ;13803;R$ 246.302,12;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;63;67.431.718/0001-03
14/07/2022;ELVIS;E2200126000000;FICÇÃO;ESTADOS UNIDOS;1109978;R$ 26.294.184,18;WARNER BROS. (SOUTH) INC.;265;33.015.827/0001-28
14/07/2022;O RIO DE JANEIRO DE HO CHI MINH;B1900121000000;FICÇÃO;BRASIL;236;R$ 3.080,28;PIPA NATIVA PRODUÇÃO CULTURAL LTDA;5467;05.933.574/0001-36
14/07/2022;RUA GUAICURUS;B1900424900000;DOCUMENTÁRIO;BRASIL;1143;R$ 18.789,44;EMBAUBA FILMES LTDA;23638;15.144.532/0001-70
14/07/2022;STAY STILL;E2100519000000;FICÇÃO;ALEMANHA;1216;R$ 18.742,70;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;12443;08.656.129/0001-64
07/07/2022;GYURI;B2000352100000;DOCUMENTÁRIO;BRASIL;1050;R$ 12.643,48;DESCOLONIZA FILMES E PRODUCOES ARTISTICAS EIRELI;43301;33.427.044/0001-51
07/07/2022;L'ÉVÉNEMENT;E2200068200000;FICÇÃO;FRANÇA;4162;R$ 70.519,94;ZETA FILMES LTDA;22936;02.469.679/0001-98
07/07/2022;LOLA AND HER BROTHERS;E2200112500000;FICÇÃO;FRANÇA;4000;R$ 74.100,47;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;12443;08.656.129/0001-64
07/07/2022;OS PRIMEIROS SOLDADOS;B2200212700000;FICÇÃO;BRASIL;4454;R$ 60.622,65;OLHAR DISTRIBUICAO DE FILMES LTDA;37242;28.083.221/0001-90
07/07/2022;THOR: LOVE AND THUNDER;E2200220300000;FICÇÃO;ESTADOS UNIDOS;6449884;R$ 123.867.693,27;THE WALT DISNEY COMPANY (BRASIL) LTDA.;18398;73.042.962/0001-87
30/06/2022;A COLMEIA;B1900117400000;FICÇÃO;BRASIL;781;R$ 10.571,34;LANCA DISTRIBUIDORA DE FILMES LTDA;25115;18.384.267/0001-95
30/06/2022;AS VERDADES;B2100458300000;FICÇÃO;BRASIL;1609;R$ 29.035,43;GULLANE ENTRETENIMENTO S.A.;848;01.378.559/0001-12
30/06/2022;CARRO REI;B2100433800000;FICÇÃO;BRASIL;1181;R$ 14.750,54;BOULEVARD FILMES LTDA;17484;12.126.484/0001-07
30/06/2022;MINIONS: THE RISE OF GRU;E2200126100000;ANIMAÇÃO;ESTADOS UNIDOS;6978921;R$ 122.247.627,64;WARNER BROS. (SOUTH) INC.;265;33.015.827/0001-28
30/06/2022;SEGUINDO TODOS OS PROTOCOLOS;B2200207600000;FICÇÃO;BRASIL;1656;R$ 14.300,37;VITRINE FILMES LTDA;16713;11.620.976/0001-83
30/06/2022;SUJEITO OCULTO;B2000340700000;FICÇÃO;BRASIL;620;R$ 7.015,00;FREDERICO DA CRUZ MACHADO - ME;11990;03.553.092/0001-25
30/06/2022;TRÊS VIDAS E UM SONHO;B2100024000000;DOCUMENTÁRIO;BRASIL;37;R$ 616,00;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;63;67.431.718/0001-03
23/06/2022;A JANGADA DE WELLES;B1900093000000;DOCUMENTÁRIO;BRASIL;1019;R$ 11.426,29;SEREIA DISTRIBUIÇÃO DE FILMES LTDA;13753;08.905.114/0001-92
23/06/2022;DISSONANTES;B2200184200000;FICÇÃO;BRASIL;159;R$ 2.582,56;THE WALT DISNEY COMPANY (BRASIL) LTDA.;18398;73.042.962/0001-87
23/06/2022;EIGA ODD TAXI: IN THE WOODS;E2200127100000;ANIMAÇÃO;JAPÃO;561;R$ 13.899,00;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;84;00.979.601/0001-98
23/06/2022;EVERYTHING EVERYWHERE ALL AT ONCE;E2200152700000;FICÇÃO;ESTADOS UNIDOS;317309;R$ 6.304.522,47;DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.;22724;17.095.184/0001-13
23/06/2022;FEATHERS;E2200223000000;FICÇÃO;FRANÇA;727;R$ 11.055,24;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82
23/06/2022;SEE FOR ME;E2200063300000;FICÇÃO;CANADÁ;38611;R$ 730.888,52;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49
23/06/2022;UM DIA QUALQUER;B1900486900000;FICÇÃO;BRASIL;966;R$ 15.713,82;PIPA NATIVA PRODUÇÃO CULTURAL LTDA;5467;05.933.574/0001-36
23/06/2022;UMA PITADA DE SORTE;B1800580500000;FICÇÃO;BRASIL;86448;R$ 909.072,28;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;4904;07.616.202/0001-01
22/06/2022;LA TEORIA DE LOS VIDRIOS ROTOS;B2100277700000;FICÇÃO;BRASIL;305;R$ 3.999,61;OKNA PRODUÇÕES CULTURAIS LTDA;11871;08.267.476/0001-03
16/06/2022;A SUSPEITA;B2100432000000;FICÇÃO;BRASIL;7518;R$ 146.432,45;WMIX DISTRIBUIDORA LTDA.;1935;03.918.609/0001-32
16/06/2022;ALINE;E2200178000000;FICÇÃO;CANADÁ;2365;R$ 42.758,77;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82
16/06/2022;AMIGO SECRETO;B2200201200000;DOCUMENTÁRIO;ALEMANHA;12155;R$ 220.947,68;VITRINE FILMES LTDA;16713;11.620.976/0001-83
16/06/2022;BLAST / DÉFLAGRATIONS;E2200100400000;FICÇÃO;FRANÇA;63;R$ 1.152,89;A2 DISTRIBUIDORA DE FILMES LTDA EPP;34811;18.338.912/0001-33
16/06/2022;DE VOLTA AO MARACANÃ;B1800422000000;FICÇÃO;BRASIL;23;R$ 148,20;LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA;22808;05.249.852/0001-30
16/06/2022;LIGHTYEAR;E2200171200000;ANIMAÇÃO;ESTADOS UNIDOS;1287208;R$ 25.037.916,31;THE WALT DISNEY COMPANY (BRASIL) LTDA.;18398;73.042.962/0001-87
16/06/2022;SAMADHI ROAD;B2200167500000;DOCUMENTÁRIO;BRASIL;224;R$ 3.248,00;MORO COMUNICACAO LTDA;5224;03.827.382/0001-10
16/06/2022;UM BROTO LEGAL;B2200154200000;FICÇÃO;BRASIL;1760;R$ 28.970,08;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;12443;08.656.129/0001-64
09/06/2022;A ARTE URBANA;B1900471700000;DOCUMENTÁRIO;BRASIL;51;R$ 271,70;LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA;22808;05.249.852/0001-30
09/06/2022;AMADO;B2200065000000;FICÇÃO;BRASIL;1303;R$ 26.401,41;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;4904;07.616.202/0001-01
09/06/2022;BRASILEIRÍSSIMA;B2200042500000;DOCUMENTÁRIO;BRASIL;85;R$ 1.354,75;BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP;19243;39.079.678/0001-47
09/06/2022;DE SON VIVANT;E2200080000000;FICÇÃO;BÉLGICA;1415;R$ 23.616,40;BONFILM PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA;14462;10.383.039/0001-99
09/06/2022;ESCRITA ÍNTIMA;B2100241700000;DOCUMENTÁRIO;BRASIL;55;R$ 857,56;GULLANE ENTRETENIMENTO S.A.;848;01.378.559/0001-12
09/06/2022;ESPERO QUE ESTA TE ENCONTRE E QUE ESTEJAS BEM;B2000499300000;DOCUMENTÁRIO;BRASIL;1782;R$ 21.335,07;EMBAUBA FILMES LTDA;23638;15.144.532/0001-70
09/06/2022;HELLO AGAIN A WEEDING DAY;E2200047200000;FICÇÃO;ALEMANHA;230;R$ 3.314,08;A2 DISTRIBUIDORA DE FILMES LTDA EPP;34811;18.338.912/0001-33
09/06/2022;ILLUSIONS PERDUES;E2200111300000;FICÇÃO;BÉLGICA;8014;R$ 149.797,28;ANTONIO FERNANDES FILMES LTDA;532;02.668.665/0001-01
09/06/2022;JESUS KID;B2000240300000;FICÇÃO;BRASIL;988;R$ 11.602,19;OLHAR DISTRIBUICAO DE FILMES LTDA;37242;28.083.221/0001-90
09/06/2022;MEMORY;E2200111100000;FICÇÃO;ESTADOS UNIDOS;79636;R$ 1.602.989,70;DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.;22724;17.095.184/0001-13
09/06/2022;OXIGÊNIO;B2200186400000;FICÇÃO;BRASIL;37;R$ 370,00;PANDA FILMES LTDA;941;04.980.287/0001-14
09/06/2022;REDEEMING LOVE;E2200155200000;FICÇÃO;ESTADOS UNIDOS;1584;R$ 32.650,38;CINECOLOR DO BRASIL LTDA;2631;05.332.959/0001-48
09/06/2022;THE DESPERATE HOUR;E2200087200000;FICÇÃO;ESTADOS UNIDOS;41166;R$ 822.730,95;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49
